3Alpha_Code,Taxonomic_Code,Name_en,Scientific_Name
EST,1210507301,White sardine,Escualosa thoracata
LTM,1210507601,Lake Tanganyika sardine,Limnothrissa miodon
CKI,1210507801,Araucanian herring,Strangomera bentincki
PLP,1210507901,River Plate sprat,Platanichthys platana
RTA,1210508001,Jenyns's sprat,Ramnogaster arcuata
PCD,1210508101,Australian freshwater herring,Potamalosa richmondia
SRB,1210508301,Two-finned round herring,Spratellomorpha bianalis
CDM,1210508501,Day's round herring,Dayella malabarica
THN,1210508601,Sanaga pygmy herring,Thrattidion noctivagus
CDK,1210508701,Roundbelly pellonuline,Laeviscutella dekimpei
SRL,1210508801,West African pygmy herring,Sierrathrissa leonensis
MCX,1210508901,Royal sprat,Microthrissa royauxi
PTU,1210509001,Sharpnosed sawtooth pellonul.,Potamothrissa acutirostris
PCM,1210509101,Lake Mweru sprat,Poecilothrissa moeruensis
CNR,1210509201,Lake Tumba dwarf sprat,Nannothrissa parva
CUR,1210509301,Thai river sprat,Clupeichthys aesarnensis
CVU,1210509302,Sumatran river sprat,Clupeichthys goniognathus
CEF,1210509401,Malabar sprat,Ehirava fluviatilis
CGS,1210509501,Smoothbelly pellonuline,Congothrissa gossei
SUM,1210509601,Madagascar round herring,Sauvagella madagascariensis
HPV,1210509701,Sandy sprat,Hyperlophus vittatus
CLP,12105XXXXX,"Herrings, sardines nei",Clupeidae
DAG,12105XXXXX033,Dagaas (=Kapenta),"Stolothrissa, Limnothrissa spp"
ANE,1210600201,European anchovy,Engraulis encrasicolus
JAN,1210600202,Japanese anchovy,Engraulis japonicus
ANA,1210600206,Argentine anchovy,Engraulis anchoita
NPA,1210600207,Californian anchovy,Engraulis mordax
VET,1210600208,Anchoveta(=Peruvian anchovy),Engraulis ringens
ANC,1210600212,Southern African anchovy,Engraulis capensis
ENR,12106002XX,Anchovies nei,Engraulis spp
EAS,1210600501,Rio Negro pygmy anchovy,Amazonsprattus scintilla
END,1210600701,Devis' anchovy,Encrasicholina devisi
ECT,1210600702,Shorthead anchovy,Encrasicholina heteroloba
STL,1210600703,Buccaneer anchovy,Encrasicholina punctifer
EJJ,1210600801,Jurua anchovy,Jurengraulis juruensis
EPM,1210601301,Littlefin anchovy,Papuengraulis micropinna
AVA,1210601501,Atlantic anchoveta,Cetengraulis edentulus
VEP,1210601503,Pacific anchoveta,Cetengraulis mysticetus
EAA,1210602001,Regan's anchovy,Anchoa argentivittata
EAR,1210602002,Short anchovy,Anchoa curta
EAM,1210602003,Marini's anchovy,Anchoa marinii
EAC,1210602004,Bermuda anchovy,Anchoa choerostoma
EAN,1210602005,Longnose anchovy,Anchoa nasus
EAE,1210602006,Eigenmann's anchovy,Anchoa eigenmannia
EAI,1210602007,Slender anchovy,Anchoa ischana
EAJ,1210602008,Rio anchovy,Anchoa januaria
EAP,1210602010,Panama anchovy,Anchoa panamensis
ENP,1210602011,Broad-striped anchovy,Anchoa hepsetus
EAF,1210602012,Longfinger anchovy,Anchoa filifera
EAO,1210602013,Deep body anchovy,Anchoa compressa
EAT,1210602014,Bigfin anchovy,Anchoa pectoralis
EAU,1210602015,Cuban anchovy,Anchoa cubana
ANB,1210602016,Bay anchovy,Anchoa mitchilli
EAL,1210602017,Big-eye anchovy,Anchoa lamprotaenia
EAY,1210602018,Shortfinger anchovy,Anchoa lyolepis
EAH,1210602020,Spicule anchovy,Anchoa spinifer
EAQ,1210602021,Piquitinga anchovy,Anchoa tricolor
EAK,1210602022,Trinidad anchovy,Anchoa trinitatis
AHC,1210602101,Bigscale anchovy,Anchovia macrolepidota
AHU,1210602102,Zabaleta anchovy,Anchovia clupeoides
EVN,1210602201,Cayenne anchovy,Anchoviella cayennensis
EVA,1210602202,Allen's anchovy,Anchoviella alleni
EVE,1210602203,Elongate anchovy,Anchoviella elongata
EVB,1210602204,Snubnose anchovy,Anchoviella brevirostris
EVL,1210602205,Broadband anchovy,Anchoviella lepidentostole
EVG,1210602207,Guyana anchovy,Anchoviella guianensis
EVJ,1210602210,James's anchovy,Anchoviella jamesi
EVT,1210602211,Natterer's anchovy,Anchoviella nattereri
EVV,1210602214,Vaillant's anchovy,Anchoviella vaillanti
EVK,12106022XX,Anchoviellas nei,Anchoviella spp
ECD,1210602601,Goldspotted grenadier anchovy,Coilia dussumieri
ECB,1210602602,Yangtse grenadier anchovy,Coilia brachygnathus
ECM,1210602603,Longjaw grenadier anchovy,Coilia macrognathos
RAA,1210602604,Osbeck's grenadier anchovy,Coilia mystus
ECA,1210602605,Japanese grenadier anchovy,Coilia nasus
ELB,1210603802,Bates' sabretooth anchovy,Lycengraulis batesii
ANR,1210603804,Atlantic sabretooth anchovy,Lycengraulis grossidens
EZW,12106038XX,Sabretooth anchovys nei,Lycengraulis spp
ELO,1210603902,Sabretoothed thryssa,Lycothrissa crocodilus
ESM,1210604601,Dusky-hairfin anchovy,Setipinna melanochir
ESP,1210604602,Gangetic hairfin anchovy,Setipinna phasa
ESB,1210604603,Shorthead hairfin anchovy,Setipinna breviceps
ESY,1210604604,Scaly hairfin anchovy,Setipinna taty
ESU,1210604605,Common hairfin anchovy,Setipinna tenuifilis
ESR,1210605001,Commerson's anchovy,Stolephorus commersonii
ESA,1210605002,Bagan anchovy,Stolephorus baganensis
ESC,1210605003,China anchovy,Stolephorus chinensis
ESI,1210605004,Indian anchovy,Stolephorus indicus
ESN,1210605005,Hardenberg's anchovy,Stolephorus insularis
ESJ,1210605006,Spined anchovy,Stolephorus tri
ESW,1210605007,Spotty-face anchovy,Stolephorus waitei
EAD,1210605008,Andhra anchovy,Stolephorus andhraensis
EBF,1210605009,Broadhead anchovy,Stolephorus brachycephalus
EGP,1210605010,Gulf of Carpenteria anchovy,Stolephorus carpentariae
STO,12106050XX,Stolephorus anchovies nei,Stolephorus spp
EYH,1210605201,Hamilton's thryssa,Thryssa hamiltonii
EYV,1210605202,Orangemouth anchovy,Thryssa vitrirostris
EYM,1210605203,Malabar thryssa,Thryssa malabarica
EYY,1210605204,Moustached thryssa,Thryssa mystax
EYP,1210605205,Oblique-jaw thryssa,Thryssa purava
EYB,1210605207,Baelama anchovy,Thryssa baelama
EYT,1210605208,Longjaw thryssa,Thryssa setirostris
EYD,1210605209,Dussumier's thryssa,Thryssa dussumieri
EYE,1210605210,False baelama anchovy,Thryssa encrasicholoides
EYK,1210605211,Kammal thryssa,Thryssa kammalensis
EYS,1210605212,New Guinea thryssa,Thryssa scratchleyi
EYW,1210605215,Whitehead's thryssa,Thryssa whiteheadi
EYG,1210605216,Fly River thryssa,Thryssa rastrosa
EYJ,1210605217,Short-tail thryssa,Thryssa brevicauda
EPH,1210606801,Wingfin anchovy,Pterengraulis atherinoides
ANX,12106XXXXX,"Anchovies, etc. nei",Engraulidae
CDC,1211000101,,Denticeps clupeoides
DOB,1211100201,Dorab wolf-herring,Chirocentrus dorab
CNU,1211100202,Whitefin wolf-herring,Chirocentrus nudus
DOS,12111002XX,Wolf-herrings nei,Chirocentrus spp
PIM,1211200101,Bigeye ilisha,Ilisha megaloptera
PIE,1211200102,Indian ilisha,Ilisha melastoma
EIL,1211200103,Elongate ilisha,Ilisha elongata
PIF,1211200104,Coromandel ilisha,Ilisha filigera
PIP,1211200107,Javan ilisha,Ilisha pristigastroides
PIU,1211200110,Pacific ilisha,Ilisha furthii
ILI,1211200112,West African ilisha,Ilisha africana
ILK,1211200113,Lobejaw ilisha,Ilisha sirishai
ILO,1211200114,,Ilisha compressa
PEQ,1211200302,Yellowfin river pellona,Pellona flavipinnis
PEO,1211200303,Indian pellona,Pellona ditchela
PEM,1211200501,Yellowfin herring,Pliosteostoma lutipinnis
PNR,1211200901,Tropical longfin herring,Neoopisthopterus tropicus
PHT,1211201001,Tardoore,Opisthopterus tardoore
PNA,1211201201,Guiana longfin herring,Odontognathus mucronatus
PRN,1211201401,Amazon hatchet herring,Pristigaster cayana
PRU,1211201601,Raconda,Raconda russeliana
DCX,121XXXXXXX019,Diadromous clupeoids nei,Clupeoidei
CLU,121XXXXXXX020,Clupeoids nei,Clupeoidei
MIL,1220200101,Milkfish,Chanos chanos
KCN,1220300101,Naked shellear,Cromeria nilotica
KGA,1220300201,,Grasseichthys gabonensis
KKA,1220300301,Airbreathing shellear,Kneria auriculata
KPA,1220300401,,Parakneria abbreviata
GPH,1220400401,Hingemouth,Phractolaemus ansorgii
GGG,1220600101,Beaked salmon,Gonorynchus gonorynchus
SAJ,1230100201,,Acantholingua ohridana
SAL,1230100401,Atlantic salmon,Salmo salar
TRS,1230100402,Sea trout,Salmo trutta
SFC,1230100403,,Salmo carpio
SFX,1230100404,,Salmo ferox
SFF,1230100405,,Salmo fibreni
SFI,1230100406,Sevan trout,Salmo ischchan
SFM,1230100407,,Salmo marmoratus
QFP,1230100408,Ohrid trout,Salmo letnica
QFS,1230100409,,Salmo ohridanus
TRO,12301004XX,Trouts nei,Salmo spp
SVS,1230100801,Long-finned charr,Salvethymus svetovidovi
ONA,1230100901,Golden trout,Oncorhynchus aguabonita
PIN,1230100902,Pink(=Humpback) salmon,Oncorhynchus gorbuscha
CHU,1230100903,Chum(=Keta=Dog) salmon,Oncorhynchus keta
ONC,1230100904,Cutthroat trout,Oncorhynchus clarki
CHE,1230100905,Masu(=Cherry) salmon,Oncorhynchus masou
SOC,1230100906,Sockeye(=Red) salmon,Oncorhynchus nerka
CHI,1230100907,Chinook(=Spring=King) salmon,Oncorhynchus tshawytscha
COH,1230100908,Coho(=Silver) salmon,Oncorhynchus kisutch
TRR,1230100909,Rainbow trout,Oncorhynchus mykiss
ONH,1230100910,Apache trout,Oncorhynchus apache
ONY,1230100911,Mexican golden trout,Oncorhynchus chrysogaster
ONG,1230100912,Gila trout,Oncorhynchus gilae
ONR,1230100915,,Oncorhynchus rhodurus
ORC,12301009XX,Pacific salmons nei,Oncorhynchus spp
SWI,1230101001,,Salvelinus willoughbii
SVF,1230101002,Brook trout,Salvelinus fontinalis
SLE,1230101003,,Salvelinus leucomaenis
ACH,1230101005,Arctic char,Salvelinus alpinus
VAR,1230101006,Dolly varden,Salvelinus malma
LAT,1230101007,Lake trout(=Char),Salvelinus namaycush
SVO,1230101008,Bull trout,Salvelinus confluentus
SVN,1230101009,Neiva,Salvelinus neiva
SVP,1230101010,,Salvelinus profundus
CHR,12301010XX,Chars nei,Salvelinus spp
SOB,1230101301,Adriatic trout,Salmothymus obtusirostris
HUI,1230102001,,Hucho ishikawae
HUC,1230102002,Huchen,Hucho hucho
HUP,1230102003,Japanese huchen,Hucho perryi
HZU,1230102004,Taimen,Hucho taimen
SBE,1230102401,Lenok,Brachymystax lenok
SLZ,12301XXXXX,Salmonids nei,Salmonidae
TLV,1230200501,Grayling,Thymallus thymallus
TYE,1230200502,Mongolian grayling,Thymallus brevirostris
TLA,1230200504,Arctic grayling,Thymallus arcticus
PCA,1230301601,Ayu sweetfish,Plecoglossus altivelis
OAE,1230400101,Whitebait smelt,Allosmerus elongatus
CAP,1230400201,Capelin,Mallotus villosus
SME,1230400301,European smelt,Osmerus eperlanus
SMR,1230400303,Rainbow smelt,Osmerus mordax
PSM,1230400801,Pond smelt,Hypomesus olidus
SUS,1230400802,Surf smelt,Hypomesus pretiosus
HVJ,1230400803,Japanese smelt,Hypomesus nipponensis
EUL,1230401201,Eulachon,Thaleichthys pacificus
OSY,1230402301,Longfin smelt,Spirinchus thaleichthys
SMX,12304XXXXX030,Smelts nei,"Osmerus spp, Hypomesus spp"
ARE,1230501501,,Argentina elongata
ARO,1230501502,,Argentina kagoshimae
ARU,1230501503,Greater argentine,Argentina silus
ARY,1230501504,Argentine,Argentina sphyraena
ARG,12305015XX,Argentines,Argentina spp
DES,1230502901,Deep-sea smelt,Glossanodon semifasciatus
GLI,1230502902,Smalltoothed argentine,Glossanodon leioglossus
GKY,1230502903,,Glossanodon polli
JXX,12305XXXXX,Argentines nei,Argentinidae
BLH,1230601001,Northern smoothtounge,Leuroglossus schmidti
BVR,1230601101,Silver deepsea smelt,Bathylagoides argyrogaster
BAA,1230601401,,Bathylagus antarcticus
BBE,1230601402,Goiter blacksmelt,Bathylagus euryops
BBG,1230601403,,Bathylagus gracilis
BBO,1230601404,Eared blacksmelt,Bathylagus ochotensis
BBP,1230601405,Slender blacksmelt,Bathylagus pacificus
BTY,12306014XX,Blacksmelts,Bathylagus spp
BVY,12306XXXXX,Deep-sea smelts nei,Bathylagidae
MXA,1230700501,,Xenophthalmichthys danae
MMI,1230701701,Slender argentine,Microstoma microstoma
MNA,1230702601,,Nansenia ardesiaca
NSZ,1230702602,,Nansenia antarctica
NFD,1230702603,,Nansenia macrolepis
NAN,12307026XX,,Nansenia spp
SNJ,1230900101,,Neosalanx jordani
XHK,1230900102,Chinese icefish,Neosalanx tangkahkeii
PRS,1230900201,Clearhead icefish,Protosalanx hyalocranius
SNN,1230901001,,Salanx ariakensis
XSC,1230901002,Chinese noodlefish,Salanx chinensis
SNH,1230902501,,Salangichthys ishikawae
SZM,1230902502,Japanese icefish,Salangichthys microdon
ISZ,12309XXXXX,Icefishes nei,Salangidae
RPE,1231000101,Australian grayling,Prototroctes maraena
SKN,1231000201,Stokell's smelt,Stokellia anisodon
RRR,1231001901,Cucumberfish,Retropinna retropinna
FVE,1231200101,Vendace,Coregonus albula
PLN,1231200102,European whitefish,Coregonus lavaretus
HOU,1231200103,Houting,Coregonus oxyrinchus
CIE,1231200104,,Coregonus fera
CIH,1231200105,,Coregonus hiemalis
CIP,1231200108,Irish pollan,Coregonus pollan
CIG,1231200109,,Coregonus wartmanni
CIR,1231200110,,Coregonus macrophthalmus
WHL,1231200112,Lake(=Common) whitefish,Coregonus clupeaformis
CIS,1231200113,Lake cisco,Coregonus artedi
CIA,1231200120,Arctic cisco,Coregonus autumnalis
CIC,1231200121,Khadary-whitefish,Coregonus chadary
CIY,1231200122,Bloater,Coregonus hoyi
CIK,1231200123,Kiyi,Coregonus kiyi
CIN,1231200124,Muksun,Coregonus muksun
CIQ,1231200125,Broad whitefish,Coregonus nasus
CII,1231200126,,Coregonus nilssoni
CIJ,1231200127,Peled,Coregonus peled
CIZ,1231200128,Shortnose cisco,Coregonus reighardi
CIW,1231200130,Sardine cisco,Coregonus sardinella
CIU,1231200131,Tugun,Coregonus tugun
CIB,1231200132,Valaam whitefish,Coregonus widegreni
UWS,1231200133,Amur whitefish,Coregonus ussuriensis
WHF,12312001XX,Whitefishes nei,Coregonus spp
SDL,1231201101,Sheefish,Stenodus leucichthys
PCU,1231202101,Pygmy whitefish,Prosopium coulterii
PCY,1231202102,Round whitefish,Prosopium cylindraceum
PWI,1231202103,Mountain whitefish,Prosopium williamsoni
OBE,1231300101,Javelin spookfish,Bathylychnops exilis
ODB,1231300201,,Dolichopteryx binocularis
OMQ,1231300301,Barreleye,Macropinna microstoma
OOI,1231300401,Mirrorbelly,Opisthoproctus grimaldii
OOL,1231300402,Barrel-eye,Opisthoproctus soleatus
OYT,1231300501,,Rhynchohyalus natalensis
OWT,1231300601,,Winteria telescopa
AQC,1231400101,,Asquamiceps caeruleus
AJB,1231400201,,Bajacalifornia burragei
AYN,1231400301,,Bathylaco nielseni
AYD,1231400401,Fangtooth smooth-head,Bathyprion danae
AYM,1231400501,Smallscale smooth-head,Bathytroctes microlepis
AZK,1231400502,Michael Sars smooth-head,Bathytroctes michaelsarsi
AKO,1231400601,Koefoed's smooth-head,Bellocia koefoedi
ALC,1231400701,Baird's slickhead,Alepocephalus bairdii
PHL,1231400702,,Alepocephalus longiceps
PHO,1231400703,Risso's smooth-head,Alepocephalus rostratus
AVS,1231400704,Small scaled brown slickhead,Alepocephalus australis
DDH,1231400705,Smalleye smooth-head,Alepocephalus productus
ALH,12314007XX,Slickheads nei,Alepocephalus spp
AFI,1231400801,Fiolenti's smooth-head,Conocara fiolenti
AZF,1231400802,Longfin smooth-head,Conocara macropterum
AEE,1231400901,Toothless smooth-head,Einara edentula
AZU,1231400902,Loosescale smooth-head,Einara macrolepis
AEN,1231401001,,Ericara niger
AEK,1231401101,Krefft's smooth-head,Herwigia kreffti
AEL,1231401201,,Leptoderma lubricum
AZM,1231401202,Grenadier smooth-head,Leptoderma macrops
MCI,1231401301,,Microphotolepis multipunctata
MRO,1231401401,Norman's smooth-head,Mirognathus normani
NAE,1231401501,,Narcetes erimelas
NZZ,1231401502,Blackhead salmon,Narcetes stomias
PHP,1231401601,Starry smooth-head,Photostylus pycnopterus
RIN,1231401701,Abyssal smooth-head,Rinoctes nasutus
ROT,1231401801,Softskin smooth-head,Rouleina attrita
ROZ,1231401802,Madeiran smooth-head,Rouleina maderensis
AXC,1231407101,Bluntsnout smooth-head,Xenodermichthys copei
TAB,1231407601,Threadfin slickhead,Talismania bifurcata
TOW,1231407602,Antillean smooth-head,Talismania antillarum
TVI,1231407603,Hairfin smooth-head,Talismania homoptera
TVO,1231407604,Longtail slickhead,Talismania longifilis
TVQ,1231407605,Threadfin smooth-head,Talismania mekistonema
FCZ,1231407701,Luminous slickhead,Aulastomatomorpha phospherops
PZC,12314XXXXX,,Alepocephalidae
PBC,1231500101,Palebelly searsid,Barbantus curvifrons
PHN,1231500201,Bighead searsid,Holtbyrnia anomala
QBB,1231500202,Teardrop tubeshoulder,Holtbyrnia innesi
QBC,1231500203,Bigeye searsid,Holtbyrnia macrops
PMU,1231500301,,Maulisia acuticeps
QBD,1231500302,Maul's searsid,Maulisia mauli
QBE,1231500303,Smallscale searsid,Maulisia microlepis
PMR,1231500401,,Mentodus crassus
PMO,1231500501,Multipore searsid,Normichthys operosus
PFA,1231500601,,Pellisolus facilis
PPK,1231500701,,Persparsia kopua
PYM,1231500801,Leaf searsid,Platytroctegen mirus
PYA,1231500901,Legless searsid,Platytroctes apus
PSA,1231501001,Shining tubeshoulder,Sagamichthys abei
QBF,1231501002,Schnakenbeck's searsid,Sagamichthys schnakenbecki
PSO,1231501101,Koefoed's searsid,Searsia koefoedi
PTR,1231501201,,Tragularius mesalirus
VBX,12315XXXXX,,Platytroctidae
LLA,1231600101,Dwarf pencilfish,Lepidogalaxias salamandroides
LLG,1231700101,,Leptochilichthys agassizii
GAV,1231800101,,Aplochiton zebra
GBB,1231800201,,Brachygalaxias bullocki
GGB,1231800301,Koaro,Galaxias brevipinnis
GGC,1231800302,Tasmanian mudfish,Galaxias cleaveri
GGF,1231800303,Banded kokopu,Galaxias fasciatus
GGM,1231800304,Inanga,Galaxias maculatus
GGP,1231800305,Shortjaw kokopu,Galaxias postvectis
GGV,1231800306,Common river galaxias,Galaxias vulgaris
GGZ,1231800307,Cape galaxias,Galaxias zebratus
GLL,1231800401,Tasmanian whitebait,Lovettia sealii
GNB,1231800501,Canterbury mudfish,Neochanna burrowsius
GND,1231800502,Black mudfish,Neochanna diversus
GPU,1231800601,,Paragalaxias dissimilis
SLX,123XXXXXXX,Salmonoids nei,Salmonoidei
DAP,1240200101,Alaska blackfish,Dallia pectoralis
NVH,1240200201,Olympic mudminnow,Novumbra hubbsi
UMK,1240200301,Mudminnow,Umbra krameri
FPI,1240300101,Northern pike,Esox lucius
EXI,1240300102,Redfin pickerel,Esox americanus
AMU,1240300105,Amur pike,Esox reichertii
GQZ,1250100101,Spark anglemouth,Sigmops bathyphilus
GSD,1250100201,,Gonostoma denudatum
GSY,1250100202,,Gonostoma bathyphilum
GSL,1250100203,Elongated bristlemouth fish,Gonostoma elongatum
GQQ,1250100204,Atlantic fangjaw,Gonostoma atlanticum
GSX,12501002XX,,Gonostoma spp
BPO,1250101201,,Bonapartia pedaliota
MTO,1250101901,,Margrethia obtusirostra
DPT,1250102101,,Diplophos taenia
DPM,1250102102,,Diplophos maderensis
YTA,1250102201,Benttooth bristlemouth,Cyclothone acclinidens
YTB,1250102202,,Cyclothone alba
YTU,1250102203,Garrick,Cyclothone braueri
YTV,1250102204,,Cyclothone livida
YTM,1250102205,Veiled anglemouth,Cyclothone microdon
YTP,1250102206,Tan bristlemouth,Cyclothone pallida
YTS,1250102207,Slender bristlemouth,Cyclothone pseudopallida
YTY,1250102208,,Cyclothone pygmaea
YTZ,1250102209,Hidden bristlemouth,Cyclothone obscura
YTX,12501022XX,,Cyclothone spp
TPM,1250103201,,Triplophos hemingi
QQV,1250103301,,Manducus maderensis
BRI,12501XXXXX,Bristlemouths,Gonostomatidae
VAT,1250200101,,Valenciennellus tripunctulatus
SRN,1250200201,,Argyripnus atlanticus
SEE,1250200301,,Argyropelecus aculeatus
QRA,1250200302,Pacific hatchet fish,Argyropelecus affinis
QRB,1250200303,Hatchetfish,Argyropelecus gigas
QRC,1250200304,Half-naked hatchetfish,Argyropelecus hemigymnus
QRD,1250200305,Sladen's hatchet fish,Argyropelecus sladeni
SDO,1250200401,Bottlelights,Danaphos oculatus
PYQ,1250200801,,Polyipnus aquavitus
QBL,1250200802,,Polyipnus polli
QHY,1250200803,,Polyipnus indicus
QHZ,1250200804,Spiny hatchetfish,Polyipnus spinosus
SXD,1250201801,Diaphanous hatchet fish,Sternoptyx diaphana
SXP,1250201802,Highlight hatchetfish,Sternoptyx pseudobscura
MAV,1250203001,Silvery lightfish,Maurolicus muelleri
JDK,1250203002,Atlantic pearlside,Maurolicus weitzmani
HAF,12502XXXXX,Hatchetfishes nei,Sternoptychidae
SAD,1250300201,,Aristostomias grimaldii
QBN,1250300202,,Aristostomias polydactylus
QBO,1250300203,,Aristostomias xenostoma
AEC,1250300301,,Astronesthes cyclophotus
AEG,1250300302,,Astronesthes gemmifer
AEJ,1250300303,,Astronesthes indicus
AEO,1250300304,,Astronesthes leucopogon
AEP,1250300305,,Astronesthes neopogon
AHR,1250300306,,Astronesthes niger
ICQ,1250300307,,Astronesthes caulophorus
ICW,1250300308,,Astronesthes macropogon
ICY,1250300309,,Astronesthes micropogon
IDD,1250300311,Richardson's snaggletooth,Astronesthes richardsoni
BRT,1250300801,Snaggletooth,Borostomias antarcticus
BRM,1250300802,,Borostomias mononema
DBR,1250300803,,Borostomias elucens
SBB,1250300901,Boa dragonfish,Stomias boa
SMV,1250300902,,Stomias brevibarbatus
QZY,1250300903,Günther's boafish,Stomias affinis
QZT,1250300904,,Stomias lampropeltis
QZS,1250300905,Longbarb scaly dragonfish,Stomias longibarbatus
SWK,12503009XX,,Stomias spp
FGU,1250301001,,Flagellostomias boureei
BTN,1250301401,,Bathophilus nigerrimus
BTU,1250301402,,Bathophilus digitatus
BTV,1250301404,,Bathophilus vaillanti
DBL,1250301405,,Bathophilus brevis
DBP,1250301406,Pawnee dragonfish,Bathophilus pawneei
CUD,1250301501,Dana viperfish,Chauliodus danae
CDN,1250301502,Sloane's viperfish,Chauliodus sloani
CVS,1250301503,,Chauliodus schmidti
FJN,1250301504,,Chauliodus pammelas
SIO,1250301601,,Chirostomias pliopterus
ECR,1250301701,,Echiostoma barbatum
EUQ,1250302601,,Eustomias obscurus
EUR,1250302603,,Eustomias braueri
EUF,1250302604,,Eustomias furcifer
EUO,1250302605,,Eustomias longibarba
EUN,1250302606,,Eustomias tetranema
EZA,1250302607,Proud dragonfish,Eustomias achirus
FAA,1250302608,,Eustomias dendriticus
FAF,1250302609,Barbate dragonfish,Eustomias enbarbatus
FAH,1250302610,,Eustomias filifer
FAI,1250302611,,Eustomias lipochirus
FAK,1250302612,,Eustomias melanonema
FAN,1250302613,,Eustomias melanostigma
GMF,1250302701,,Grammatostomias flagellibarba
HTO,1250302801,,Heterophotus ophistoma
IDF,1250302901,,Idiacanthus fasciola
LSB,1250303001,,Leptostomias bilobatus
JSO,1250303002,,Leptostomias longibarba
MCN,1250303101,Stoplight loosejaw,Malacosteus niger
MNB,1250303201,,Melanostomias biseriatus
MNM,1250303202,,Melanostomias melanopogon
MNE,1250303203,,Melanostomias tentaculatus
MNV,1250303204,Valdivia black dragon fish,Melanostomias valdiviae
QCA,1250303205,Scaleless black dragonfish,Melanostomias bartonbeani
MNP,1250303301,,Neonesthes capensis
OSO,1250303401,,Odontostomias masticopogon
OUZ,1250303402,,Odontostomias micropogon
OPN,1250303501,,Opostomias micripnus
SCW,1250303601,,Pachystomias microdon
PNE,1250303701,,Photonectes albipennis
QBM,1250303702,,Photonectes dinema
QBP,1250303703,,Photonectes leucospilus
QBQ,1250303704,,Photonectes margarita
PUE,1250303801,,Photostomias guernei
RID,1250303901,,Rhadinesthes decimus
TSM,1250304001,Longfin dragonfish,Tactostoma macropus
TYX,1250304101,,Thysanactis dentex
TLE,1250304201,,Trigonolampa miriceps
RQX,12503XXXXX,,Stomiidae
IHO,1250900101,,Ichthyococcus ovatus
HOE,1250900201,,Phosichthys argenteus
OLM,1250900301,,Pollichthys mauli
OLC,1250900401,,Polymetme corythaeola
VIA,1250900501,,Vinciguerria attenuata
VII,1250900502,Oceanic lightfish,Vinciguerria nimbaria
VIP,1250900503,Power's deep-water bristle-mou,Vinciguerria poweriae
WOM,1250900601,,Woodsia meyerwaardeni
YAB,1250900701,,Yarrella blackfordi
VCX,12509XXXXX,,Phosichthyidae
ARP,1280100101,Arapaima,Arapaima gigas
OOB,1280100201,Arawana,Osteoglossum bicirrhosum
OSJ,1280100301,Australian bonytongue,Scleropages jardinii
OHB,1280100302,Asian bonytongue,Scleropages formosus
HTN,1280100401,African bonytongue,Heterotis niloticus
NCC,1280200201,Clown knifefish,Chitala chitala
NCG,1280200202,Giant featherback,Chitala lopis
NCW,1280200203,Indochina featherback,Chitala blanci
NQV,1280200204,Clown featherback,Chitala ornata
ONN,1280200302,Bronze featherback,Notopterus notopterus
FKN,12802003XX,Knifefishes,Notopterus spp
ONP,1280200401,Reticulate knifefish,Papyrocranus afer
ONX,1280200501,African knifefish,Xenomystus nigri
OHA,1280400201,Mooneye,Hiodon tergisus
OPB,1280500101,Freshwater butterflyfish,Pantodon buchholzi
OMB,1280600101,,Boulengeromyrus knoepffleri
OBB,1280600201,,Brienomyrus brachyistius
OMC,1280600301,,Campylomormyrus elephas
OMG,1280600401,,Genyomyrus donnyi
OMH,1280600501,Elephantnose fish,Gnathonemus petersii
OMY,1280600601,,Heteromormyrus pauciradiatus
OMP,1280600701,Zambesi parrotfish,Hippopotamyrus discorhynchus
OMU,1280600801,,Hyperopisus bebe
OMI,1280600901,,Isichthys henryi
OMV,1280601001,,Ivindomyrus opdenboschi
OMR,1280601101,,Marcusenius abadii
OMA,1280601201,Bulldog,Marcusenius macrolepidotus
OMO,1280601301,,Mormyrus rume
MZU,12806013XX,Bottlenose fishes nei,Mormyrus spp
OMJ,1280601401,Ghost stonebasher,Paramormyrops jacksoni
OME,1280601501,Churchill,Petrocephalus catostoma
OMD,1280601601,,Pollimyrus isidori
OMT,1280601701,,Stomatorhinus ater
OEY,12806XXXXX,Elephantsnout fishes nei,Mormyridae
OGN,1280700101,Aba,Gymnarchus niloticus
CEW,1290100301,Hawaiian ladyfish,Elops hawaiensis
LAD,1290100302,Ladyfish,Elops saurus
CEI,1290100303,Pacific ladyfish,Elops affinis
CEC,1290100304,West African ladyfish,Elops lacerta
CEG,1290100305,Senegalese ladyfish,Elops senegalensis
CEV,1290100306,Tenpounder,Elops machnata
JZX,12901003XX,Ladyfishes nei,Elops spp
TAR,1290200401,Tarpon,Megalops atlanticus
TAI,1290200402,Indo-Pacific tarpon,Megalops cyprinoides
BOF,1300100501,Bonefish,Albula vulpes
BGV,1300100502,Roundjaw bonefish,Albula glossodonta
DGY,1300100503,,Albula argentea
BNF,1300100601,Longfin bonefish,Pterothrissus belloci
ALU,13001XXXXX,Bonefishes nei,Albulidae
GGH,1310100101,Gigantura,Gigantura chuni
HIJ,1310200101,Japanese thread-sail fish,Hime japonicus
ULF,1310200301,Royal flagfin,Aulopus filamentosus
UJA,1310200302,Guinean flagfin,Aulopus cadenati
BEE,1310300201,,Benthalbella elongata
BNZ,1310300202,,Benthalbella macropinna
