"year","country","family","species","sci_name","quantity","aquaculture","post","group","year_start"
1950,"AGO","Haemulidae","GRX","Haemulidae (=Pomadasyidae)",200,0,0,0,1980
1950,"AGO","Merlucciidae","HKK","Merluccius capensis",300,0,0,0,1980
1950,"AGO","Trichiuridae","LHT","Trichiurus lepturus",600,0,0,0,1980
1950,"AGO","Xiphiidae","SWO","Xiphias gladius",100,0,0,0,1980
1950,"ARG","Merlucciidae","HKP","Merluccius hubbsi",9200,0,0,0,1980
1950,"ARG","Ommastrephidae","SQA","Illex argentinus",100,0,0,0,1980
1950,"BEL","Lophiidae","MNZ","Lophius spp",100,0,0,0,1980
1950,"BEL","Merlucciidae","HKE","Merluccius merluccius",400,0,0,0,1980
1950,"BEL","Nephropidae","NEP","Nephrops norvegicus",800,0,0,0,1980
1950,"BRA","Ariidae","CAX","Ariidae",10000,0,0,0,1980
1950,"BRA","Haemulidae","BRG","Conodon nobilis",500,0,0,0,1980
1950,"BRA","Merlucciidae","HKP","Merluccius hubbsi",100,0,0,0,1980
1950,"BRA","Mullidae","MUM","Mullidae",200,0,0,0,1980
1950,"BRB","Istiophoridae","BUM","Makaira nigricans",200,0,0,0,1980
1950,"CAN","Nephropidae","LBA","Homarus americanus",22600,0,0,0,1980
1950,"CAN","Ommastrephidae","SQI","Illex illecebrosus",2600,0,0,0,1980
1950,"CAN","Xiphiidae","SWO","Xiphias gladius",1000,0,0,0,1980
1950,"CHL","Haemulidae","GRP","Isacia conceptionis",400,0,0,0,1980
1950,"CHL","Merlucciidae","PHA","Merluccius gayi",33100,0,0,0,1980
1950,"CHL","Xiphiidae","SWO","Xiphias gladius",800,0,0,0,1980
1950,"CHN","Trichiuridae","LHT","Trichiurus lepturus",129200,0,0,0,1980
1950,"CIV","Haemulidae","BUR","Pomadasys jubelini",300,0,0,0,1980
1950,"CMR","Ariidae","CAX","Ariidae",100,0,0,0,1980
1950,"CMR","Haemulidae","GRB","Brachydeuterus auritus",1000,0,0,0,1980
1950,"COL","Haemulidae","GRX","Haemulidae (=Pomadasyidae)",100,0,0,0,1980
1950,"COM","Istiophoridae","SFA","Istiophorus platypterus",6,0,0,0,1980
1950,"COM","Xiphiidae","SWO","Xiphias gladius",14,0,0,0,1980
1950,"CUB","Haemulidae","GRX","Haemulidae (=Pomadasyidae)",1000,0,0,0,1980
1950,"DEU","Lophiidae","MNZ","Lophius spp",100,0,0,0,1980
1950,"DEU","Merlucciidae","HKE","Merluccius merluccius",500,0,0,0,1980
1950,"DNK","Nephropidae","LBE","Homarus gammarus",200,0,0,0,1980
1950,"DNK","Nephropidae","NEP","Nephrops norvegicus",600,0,0,0,1980
1950,"DNK","Pandalidae","PRA","Pandalus borealis",500,0,0,0,1980
1950,"DZA","Merlucciidae","HKE","Merluccius merluccius",900,0,0,0,1980
1950,"DZA","Mullidae","MUX","Mullus spp",600,0,0,0,1980
1950,"DZA","Nephropidae","NEP","Nephrops norvegicus",200,0,0,0,1980
1950,"EGY","Mullidae","MUM","Mullidae",100,0,0,0,1980
1950,"EGY","Mullidae","MUX","Mullus spp",300,0,0,0,1980
1950,"EGY","Synodontidae","LIX","Synodontidae",400,0,0,0,1980
1950,"ESP","Loliginidae","SQC","Loligo spp",3300,0,0,0,1980
1950,"ESP","Lophiidae","MNZ","Lophius spp",2400,0,0,0,1980
1950,"ESP","Merlucciidae","HKE","Merluccius merluccius",64900,0,0,0,1980
1950,"ESP","Mullidae","MUR","Mullus surmuletus",900,0,0,0,1980
1950,"ESP","Mullidae","MUX","Mullus spp",1900,0,0,0,1980
1950,"ESP","Nephropidae","NEP","Nephrops norvegicus",2100,0,0,0,1980
1950,"ESP","Ommastrephidae","SQU","Loliginidae, Ommastrephidae",3500,0,0,0,1980
1950,"ESP","Scomberesocidae","SAU","Scomberesox saurus",400,0,0,0,1980
1950,"ESP","Xiphiidae","SWO","Xiphias gladius",2031,0,0,0,1980
1950,"FRA","Merlucciidae","HKE","Merluccius merluccius",18200,0,0,0,1980
1950,"FRA","Nephropidae","LBE","Homarus gammarus",400,0,0,0,1980
1950,"FRA","Nephropidae","NEP","Nephrops norvegicus",3700,0,0,0,1980
1950,"GBR","Loliginidae","SQC","Loligo spp",500,0,0,0,1980
1950,"GBR","Lophiidae","MON","Lophius piscatorius",2700,0,0,0,1980
1950,"GBR","Merlucciidae","HKE","Merluccius merluccius",26500,0,0,0,1980
1950,"GBR","Nephropidae","LBE","Homarus gammarus",1100,0,0,0,1980
1950,"GBR","Nephropidae","NEP","Nephrops norvegicus",100,0,0,0,1980
1950,"GRC","Merlucciidae","HKE","Merluccius merluccius",1500,0,0,0,1980
1950,"GRC","Mullidae","MUX","Mullus spp",2500,0,0,0,1980
1950,"GRL","Pandalidae","PRA","Pandalus borealis",300,0,0,0,1980
1950,"HKG","Mullidae","GOX","Upeneus spp",3000,0,0,0,1980
1950,"HKG","Nemipteridae","THB","Nemipterus spp",4000,0,0,0,1980
1950,"HKG","Ommastrephidae","SQU","Loliginidae, Ommastrephidae",300,0,0,0,1980
1950,"HKG","Stromateidae","BUX","Stromateidae",700,0,0,0,1980
1950,"HKG","Synodontidae","LIX","Synodontidae",2000,0,0,0,1980
1950,"HKG","Trichiuridae","CUT","Trichiuridae",1000,0,0,0,1980
1950,"IDN","Ariidae","CAX","Ariidae",800,0,0,0,1980
1950,"IDN","Istiophoridae","BLM","Makaira indica",2,0,0,0,1980
1950,"IDN","Istiophoridae","BUM","Makaira nigricans",1,0,0,0,1980
1950,"IDN","Istiophoridae","MLS","Tetrapturus audax",1,0,0,0,1980
1950,"IDN","Istiophoridae","SFA","Istiophorus platypterus",4,0,0,0,1980
1950,"IDN","Leiognathidae","PON","Leiognathidae",900,0,0,0,1980
1950,"IDN","Loliginidae","SQC","Loligo spp",500,0,0,0,1980
1950,"IDN","Mullidae","GOX","Upeneus spp",300,0,0,0,1980
1950,"IDN","Nemipteridae","THB","Nemipterus spp",400,0,0,0,1980
1950,"IDN","Stromateidae","SIP","Pampus argenteus",1000,0,0,0,1980
1950,"IDN","Trichiuridae","CUT","Trichiuridae",400,0,0,0,1980
1950,"IDN","Xiphiidae","SWO","Xiphias gladius",1,0,0,0,1980
1950,"IND","Ariidae","CAX","Ariidae",18800,0,0,0,1980
1950,"IND","Istiophoridae","BLM","Makaira indica",47,0,0,0,1980
1950,"IND","Istiophoridae","SFA","Istiophorus platypterus",208,0,0,0,1980
1950,"IND","Leiognathidae","PON","Leiognathidae",14000,0,0,0,1980
1950,"IND","Stromateidae","BUX","Stromateidae",20000,0,0,0,1980
1950,"IND","Synodontidae","BUC","Harpadon nehereus",40500,0,0,0,1980
1950,"IND","Trichiuridae","CUT","Trichiuridae",55000,0,0,0,1980
1950,"IND","Xiphiidae","SWO","Xiphias gladius",29,0,0,0,1980
1950,"IRL","Merlucciidae","HKE","Merluccius merluccius",100,0,0,0,1980
1950,"IRL","Nephropidae","LBE","Homarus gammarus",100,0,0,0,1980
1950,"IRN","Istiophoridae","SFA","Istiophorus platypterus",17,0,0,0,1980
1950,"ISR","Merlucciidae","HKE","Merluccius merluccius",200,0,0,0,1980
1950,"ITA","Loliginidae","SQC","Loligo spp",2000,0,0,0,1980
1950,"ITA","Merlucciidae","HKE","Merluccius merluccius",5400,0,0,0,1980
1950,"ITA","Mullidae","MUX","Mullus spp",3000,0,0,0,1980
1950,"ITA","Nephropidae","NEP","Nephrops norvegicus",1000,0,0,0,1980
1950,"ITA","Squillidae","MTS","Squilla mantis",1000,0,0,0,1980
1950,"ITA","Xiphiidae","SWO","Xiphias gladius",1000,0,0,0,1980
1950,"JPN","Ammodytidae","PAS","Ammodytes personatus",50000,0,0,0,1980
1950,"JPN","Lithodidae","KCS","Paralithodes spp",17300,0,0,0,1980
1950,"JPN","Ommastrephidae","SQJ","Todarodes pacificus",408700,0,0,0,1980
1950,"JPN","Ommastrephidae","SQU","Loliginidae, Ommastrephidae",42900,0,0,0,1980
1950,"JPN","Scomberesocidae","SAP","Cololabis saira",2e+05,0,0,0,1980
1950,"JPN","Synodontidae","LIG","Saurida tumbil",20000,0,0,0,1980
1950,"JPN","Trichiuridae","LHT","Trichiurus lepturus",10000,0,0,0,1980
1950,"JPN","Xiphiidae","SWO","Xiphias gladius",14500,0,0,0,1980
1950,"KOR","Lithodidae","KCS","Paralithodes spp",500,0,0,0,1980
